,ms_subclass,ms_zoning,lot_frontage,lot_area,street,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,functional,fireplaces,garage_type,garage_yr_blt,garage_finish,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,misc_val,mo_sold,sale_type,saleprice
0,60,RL,54.734375,13517,Pave,3,Lvl,4,CulDSac,1,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,4,3,CBlock,3,3,1,6,533.0,1,0.0,192.0,725.0,GasA,5,Y,5,754,0,1479,0.0,0.0,2,1,3,1,4,8,0,Attchd,1976,RFn,475.0,TA,TA,Y,0,44,0,0,0,0,0,3,WD ,130500
1,60,RL,43.0,11492,Pave,3,Lvl,4,CulDSac,1,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,4,3,PConc,4,3,1,6,637.0,1,0.0,276.0,913.0,GasA,5,Y,5,1209,0,2122,1.0,0.0,2,1,4,1,4,8,1,Attchd,1997,RFn,559.0,TA,TA,Y,0,74,0,0,0,0,0,4,WD ,220000
2,20,RL,68.0,7922,Pave,4,Lvl,4,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,1,6,731.0,1,0.0,326.0,1057.0,GasA,3,Y,5,0,0,1057,1.0,0.0,1,0,3,1,4,8,0,Detchd,1953,Unf,246.0,TA,TA,Y,0,52,0,0,0,0,0,1,WD ,109000
3,60,RL,73.0,9802,Pave,4,Lvl,4,Inside,1,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,1,0.0,1,0.0,384.0,384.0,GasA,4,Y,5,700,0,1444,0.0,0.0,2,1,3,1,3,8,0,BuiltIn,2007,Fin,400.0,TA,TA,Y,100,0,0,0,0,0,0,4,WD ,174000
4,50,RL,82.0,14235,Pave,3,Lvl,4,Inside,1,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,3,3,PConc,2,4,1,1,0.0,1,0.0,676.0,676.0,GasA,3,Y,5,614,0,1445,0.0,0.0,2,0,3,1,3,8,0,Detchd,1957,Unf,484.0,TA,TA,N,0,59,0,0,0,0,0,3,WD ,138500
5,20,RL,137.0,16492,Pave,3,Lvl,4,Corner,1,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,4,3,CBlock,3,3,1,5,247.0,3,713.0,557.0,1517.0,GasA,5,Y,5,0,0,1888,0.0,0.0,2,1,2,1,4,5,1,Attchd,1966,Fin,578.0,TA,TA,Y,0,0,0,0,0,0,0,6,WD ,190000
6,180,RM,35.0,3675,Pave,4,Lvl,4,Inside,1,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,3,3,PConc,4,3,4,6,547.0,1,0.0,0.0,547.0,GasA,4,Y,5,0,0,1072,1.0,0.0,2,0,2,1,3,8,0,Basment,2005,Fin,525.0,TA,TA,Y,0,44,0,0,0,0,0,6,New,140000
7,20,RL,66.759571,12160,Pave,3,Lvl,4,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,3,3,CBlock,3,3,1,3,1000.0,1,0.0,188.0,1188.0,GasA,2,Y,5,0,0,1188,1.0,0.0,1,0,3,1,3,8,0,Attchd,1959,RFn,531.0,TA,TA,Y,0,0,0,0,0,0,0,5,COD,142000
8,20,RL,66.759571,15783,Pave,4,Lvl,4,Inside,1,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,3,292.0,1,0.0,632.0,924.0,GasA,3,Y,5,0,0,924,0.0,0.0,1,0,2,1,3,8,0,Detchd,1952,Unf,420.0,TA,TA,Y,0,324,0,0,0,0,400,6,WD ,112500
9,60,RL,70.0,11606,Pave,3,HLS,4,Inside,3,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,3,3,PConc,4,3,3,3,650.0,1,0.0,390.0,1040.0,GasA,3,Y,5,1040,0,2080,0.0,1.0,1,2,5,1,2,8,2,Attchd,1969,Unf,504.0,TA,TA,Y,335,0,0,0,0,0,0,9,WD ,135000
